0,1,2,3
0.03748355964997297,Financial Services,United States,APO US
0.04066190258654564,Consumer Discretionary,Canada,ATD CN
0.06196076745220265,Consumer Discretionary,Canada,ATZ CN
0.022655254429884468,Utilities,Canada,BEP-U CN
0.0777761926053679,Financial Services,United States,BLK US
0.0835837730117294,Financial Services,United States,CBOE US
0.037532265781601945,Real Estate,Canada,CIGI CN
0.03370878815305405,Industrials,United States,DE US
0.072676461946287,Financial Services,Canada,EQB CN
0.055788480206949355,Industrials,United States,HON US
0.0,Communication Services,United States,IYZ US
0.08534205819288747,Financial Services,United States,JPM US
0.09743929689127948,Information Technology,United States,MSFT US
0.03416916366231008,Materials,Canada,NTR CN
0.04081127320983101,Consumer Discretionary,United States,SBUX US
0.04583675420660408,Information Technology,Canada,TOI CN
0.047357151229260125,Communication Services,United States,TTWO US
0.045551665408238906,Healthcare,United States,UHS US
0.07966519137599354,Financial Services,United States,V US
0.0,Information Technology,United States,VGT US
0.0,Financial Services,Canada,XFN CN
0.0,Healthcare,United States,XLV US
0.0,Consumer Discretionary,United States,XLY US
0.0,Materials,Canada,XMA CN
0.0,Utilities,Canada,XUT CN
0.0,Industrials,Canada,ZIN CN
